Region,County,Gender,Age,Grade,Disability,Residence,SchoolType
Central,Nyandarua,Female,9,Two,Hearing,Rural,Regular
Eastern,Nyandarua,Male,8,Two,Visual,Urban,Integrated
North Eastern,Kisumu,Female,6,One,Hearing,Urban,Regular
Nyanza,Bungoma,Female,8,One,Physical,Rural,Regular
Rift Valley,Kisumu,Female,7,One,Hearing,Rural,Special
North Eastern,Makueni,Male,10,One,Visual,Urban,Integrated
North Eastern,Migori,Male,9,Three,Visual,Urban,Integrated
Central,Murang'a,Female,7,Two,Hearing,Urban,Integrated
Rift Valley,Wajir,Female,8,One,Physical,Urban,Integrated
Coast,Homa Bay,Female,10,Two,Autism,Urban,Integrated
Western,Mandera,Male,7,One,Hearing,Urban,Integrated
Eastern,Siaya,Male,5,Pre-School,Hearing,Rural,Integrated
Nairobi,Mandera,Male,6,One,Visual,Urban,Regular
Nairobi,Homa Bay,Female,8,Three,Physical,Urban,Regular
Western,Uasin Gishu,Male,6,Three,Physical,Rural,Special
Nairobi,Bungoma,Male,5,Pre-School,Hearing,Urban,Integrated
Coast,Migori,Female,9,Two,Hearing,Urban,Regular
Central,Murang'a,Male,10,Two,Autism,Urban,Regular
Coast,Mombasa,Male,10,One,Physical,Urban,Integrated
Coast,Wajir,Male,9,One,Hearing,Urban,Special
Nyanza,Nyeri,Female,10,Three,Hearing,Urban,Integrated
Western,Kwale,Female,6,Two,Visual,Urban,Regular
North Eastern,Trans Nzoia,Female,7,Two,Autism,Rural,Regular
North Eastern,Kericho,Male,7,One,Physical,Urban,Regular
Central,Nyamira,Female,7,One,Hearing,Urban,Integrated
Rift Valley,Nyeri,Male,6,One,Visual,Urban,Integrated
Nairobi,Murang'a,Female,9,One,Hearing,Urban,Special
Coast,Makueni,Female,10,Two,Visual,Urban,Integrated
Central,Garissa,Female,5,Pre-School,Hearing,Rural,Regular
Nairobi,Elgeyo Marakwet,Female,8,Three,Physical,Urban,Regular
Rift Valley,Busia,Male,6,Three,Physical,Urban,Integrated
Eastern,Bungoma,Male,5,Pre-School,Physical,Rural,Regular
Central,Machakos,Male,8,Two,Hearing,Urban,Integrated
Nairobi,Kisii,Male,6,Three,Physical,Urban,Integrated
North Eastern,Migori,Male,5,Pre-School,Visual,Urban,Integrated
Rift Valley,Uasin Gishu,Male,8,Three,Physical,Urban,Regular
Nairobi,Uasin Gishu,Female,10,Three,Hearing,Rural,Special
North Eastern,Kirinyaga,Male,10,One,Physical,Rural,Regular
Coast,Machakos,Female,7,Three,Visual,Urban,Integrated
Central,Homa Bay,Female,10,Two,Visual,Urban,Integrated
Western,Nyandarua,Male,7,One,Hearing,Urban,Regular
Nyanza,Machakos,Male,9,One,Hearing,Rural,Integrated
Coast,Kirinyaga,Female,9,One,Visual,Urban,Regular
North Eastern,Embu,Female,7,One,Hearing,Urban,Regular
Coast,Murang'a,Male,5,Pre-School,Physical,Urban,Integrated
Nairobi,Bomet,Female,5,Pre-School,Physical,Urban,Integrated
Rift Valley,Kisii,Male,5,Pre-School,Physical,Urban,Integrated
Nyanza,Baringo,Female,6,Two,Visual,Urban,Regular
Rift Valley,Elgeyo Marakwet,Female,10,One,Physical,Urban,Integrated
North Eastern,Kisumu,Male,9,Two,Physical,Urban,Regular
Rift Valley,Kajiado,Male,5,Pre-School,Physical,Rural,Regular
Coast,Nairobi,Male,10,Three,Visual,Urban,Special
Nyanza,Nyandarua,Male,7,Two,Visual,Rural,Regular
Coast,Samburu,Female,7,Two,Physical,Urban,Regular
Eastern,Elgeyo Marakwet,Male,6,One,Visual,Urban,Regular
North Eastern,Narok,Female,8,Two,Visual,Rural,Integrated
Western,Homa Bay,Male,9,Two,Visual,Urban,Integrated
North Eastern,Kitui,Male,7,Three,Autism,Urban,Regular
Eastern,Mandera,Male,7,Three,Hearing,Urban,Special
Nairobi,Kitui,Male,8,Three,Physical,Urban,Integrated
Eastern,Tana River,Male,10,Two,Visual,Urban,Regular
Nyanza,Trans Nzoia,Male,8,One,Visual,Urban,Regular
Eastern,Garissa,Male,9,One,Hearing,Urban,Regular
Eastern,Kisumu,Female,6,Three,Visual,Rural,Regular
Rift Valley,Baringo,Male,10,One,Visual,Rural,Special
Central,Nyeri,Female,9,One,Visual,Rural,Special
Eastern,Mombasa,Female,10,Three,Autism,Urban,Regular
Nairobi,Kakamega,Male,5,Pre-School,Visual,Urban,Integrated
Coast,Isiolo,Female,7,Two,Hearing,Urban,Integrated
Nyanza,Busia,Male,7,Two,Hearing,Rural,Regular
Eastern,Baringo,Male,10,Three,Physical,Urban,Special
Central,Marsabit,Male,10,Two,Visual,Urban,Integrated
Western,Trans Nzoia,Female,7,Three,Hearing,Urban,Regular
Central,Marsabit,Female,7,Three,Visual,Urban,Integrated
North Eastern,Marsabit,Male,10,Three,Physical,Rural,Integrated
Western,Kakamega,Female,7,Three,Hearing,Urban,Regular
Central,Tharaka Nithi,Female,7,One,Physical,Urban,Regular
Eastern,Kisii,Male,10,Two,Physical,Urban,Special
Eastern,Garissa,Male,5,Pre-School,Hearing,Urban,Integrated
North Eastern,Turkana,Male,5,Pre-School,Hearing,Urban,Regular
Eastern,Kirinyaga,Male,6,Three,Visual,Urban,Integrated
Coast,Nyeri,Female,8,Three,Hearing,Rural,Integrated
Eastern,Nakuru,Male,7,One,Physical,Urban,Integrated
North Eastern,Isiolo,Female,6,One,Autism,Urban,Regular
Nyanza,Nairobi,Female,5,Pre-School,Physical,Urban,Regular
Rift Valley,Narok,Female,9,Three,Physical,Urban,Integrated
Coast,Kericho,Male,8,One,Physical,Urban,Regular
Central,Isiolo,Male,5,Pre-School,Visual,Urban,Regular
Nyanza,Nakuru,Female,6,Three,Visual,Urban,Special
Central,Makueni,Male,7,One,Visual,Urban,Integrated
Nairobi,Nakuru,Female,6,Two,Hearing,Urban,Regular
Coast,Uasin Gishu,Female,5,Pre-School,Hearing,Urban,Integrated
Nairobi,Machakos,Male,7,One,Hearing,Urban,Regular
Eastern,Bungoma,Male,5,Pre-School,Autism,Urban,Integrated
Eastern,Homa Bay,Male,6,One,Visual,Urban,Regular
Rift Valley,Narok,Female,8,One,Visual,Urban,Regular
Central,Taita Taveta,Male,5,Pre-School,Visual,Urban,Special
Rift Valley,Kisii,Male,6,Three,Physical,Urban,Integrated
Eastern,Turkana,Female,7,Three,Hearing,Urban,Regular
Central,Samburu,Female,9,One,Physical,Rural,Special
Rift Valley,Wajir,Female,9,One,Visual,Urban,Regular
Nairobi,Turkana,Male,7,Two,Hearing,Urban,Regular
Nyanza,Makueni,Male,5,Pre-School,Physical,Urban,Special
Rift Valley,Nakuru,Male,6,One,Physical,Urban,Regular
Nairobi,Nyamira,Female,6,Three,Physical,Urban,Regular
Nyanza,Meru,Female,10,Two,Physical,Urban,Regular
Nyanza,Kajiado,Male,7,Two,Autism,Rural,Integrated
Rift Valley,Bomet,Female,6,Three,Autism,Urban,Integrated
Central,Nyandarua,Male,8,Three,Visual,Rural,Regular
North Eastern,Vihiga,Male,10,Two,Hearing,Urban,Special
Coast,Kilifi,Female,10,Three,Physical,Urban,Integrated
Coast,Isiolo,Female,8,Three,Hearing,Urban,Special
Rift Valley,Mombasa,Male,6,Three,Visual,Rural,Regular
Western,Siaya,Female,7,Three,Hearing,Urban,Special
North Eastern,Tana River,Male,9,Two,Physical,Rural,Integrated
Western,Nyeri,Female,9,One,Hearing,Urban,Regular
North Eastern,Tharaka Nithi,Female,9,One,Autism,Urban,Integrated
Eastern,Busia,Female,6,Three,Visual,Urban,Regular
Central,Lamu,Male,5,Pre-School,Hearing,Rural,Regular
North Eastern,Makueni,Male,8,Three,Physical,Urban,Regular
Central,Kajiado,Female,7,Two,Physical,Urban,Integrated
North Eastern,Baringo,Female,10,One,Visual,Rural,Integrated
North Eastern,Bungoma,Male,7,Three,Physical,Urban,Integrated
Rift Valley,Taita Taveta,Male,6,One,Hearing,Rural,Special
Coast,Makueni,Male,5,Pre-School,Visual,Urban,Regular
Central,Busia,Male,10,Three,Visual,Rural,Regular
Nyanza,West Pokot,Male,6,Two,Visual,Rural,Special
Western,West Pokot,Male,6,One,Physical,Rural,Regular
Nyanza,Kajiado,Female,5,Pre-School,Hearing,Urban,Integrated
Central,Kisumu,Male,7,Two,Visual,Rural,Regular
Nairobi,Meru,Female,5,Pre-School,Visual,Rural,Integrated
Western,Kericho,Female,10,Two,Physical,Urban,Integrated
Central,Turkana,Female,9,Two,Autism,Urban,Regular
Central,Bungoma,Male,7,One,Physical,Urban,Regular
North Eastern,Busia,Female,9,Three,Physical,Urban,Regular
Coast,West Pokot,Female,10,One,Hearing,Urban,Integrated
Western,Marsabit,Female,8,One,Physical,Urban,Integrated
Nairobi,Homa Bay,Female,10,One,Physical,Urban,Regular
Nairobi,Kericho,Female,5,Pre-School,Visual,Urban,Integrated
Nairobi,Homa Bay,Male,7,Two,Hearing,Urban,Integrated
Rift Valley,Kisumu,Male,6,Three,Physical,Rural,Integrated
Coast,Marsabit,Female,6,One,Visual,Urban,Integrated
Eastern,Baringo,Female,5,Pre-School,Hearing,Urban,Integrated
Western,Siaya,Male,7,Three,Hearing,Urban,Regular
Western,Vihiga,Female,7,Two,Hearing,Urban,Integrated
Eastern,West Pokot,Male,9,Two,Autism,Urban,Integrated
Nyanza,Kilifi,Female,10,One,Visual,Rural,Integrated
Central,Kirinyaga,Male,10,Two,Autism,Rural,Regular
North Eastern,Kwale,Female,5,Pre-School,Hearing,Rural,Integrated
Western,Kericho,Male,8,Three,Physical,Urban,Regular
Rift Valley,Nyamira,Male,6,Three,Physical,Rural,Integrated
Central,Kericho,Male,5,Pre-School,Visual,Rural,Integrated
Nairobi,Makueni,Female,7,Three,Visual,Urban,Integrated
Western,Garissa,Male,6,Two,Visual,Rural,Integrated
Eastern,Bungoma,Female,5,Pre-School,Visual,Urban,Integrated
Nyanza,Kwale,Male,9,One,Hearing,Urban,Regular
Western,Tharaka Nithi,Female,9,Two,Visual,Urban,Integrated
Coast,Embu,Male,6,Three,Physical,Urban,Integrated
North Eastern,Busia,Male,5,Pre-School,Physical,Urban,Integrated
Western,Nyamira,Female,8,One,Visual,Urban,Regular
Eastern,Kakamega,Male,8,Three,Hearing,Rural,Integrated
Coast,Lamu,Female,5,Pre-School,Visual,Rural,Regular
Western,Mandera,Female,7,Three,Visual,Rural,Integrated
Eastern,Kisumu,Female,8,Three,Physical,Urban,Regular
Central,Tharaka Nithi,Female,9,Three,Hearing,Urban,Integrated
Rift Valley,Marsabit,Female,6,Three,Visual,Urban,Special
Central,Nyamira,Female,7,Three,Physical,Urban,Regular
North Eastern,Samburu,Male,5,Pre-School,Visual,Urban,Integrated
Western,Baringo,Female,7,Three,Physical,Urban,Regular
Eastern,Isiolo,Male,10,Two,Physical,Urban,Integrated
Rift Valley,Migori,Female,9,Two,Hearing,Urban,Integrated
Nairobi,Kiambu,Male,6,Three,Visual,Urban,Regular
Nairobi,Kitui,Male,5,Pre-School,Autism,Rural,Regular
Central,Baringo,Female,6,One,Visual,Urban,Integrated
Western,Nandi,Female,9,Three,Visual,Rural,Special
Eastern,Kisii,Female,10,Three,Hearing,Urban,Integrated
Nairobi,Embu,Male,10,Three,Physical,Urban,Regular
Eastern,Baringo,Female,7,Three,Visual,Urban,Special
Nairobi,Baringo,Female,9,Two,Hearing,Rural,Integrated
Coast,Busia,Male,9,One,Visual,Rural,Integrated
Central,Uasin Gishu,Female,10,One,Autism,Urban,Regular
Central,Mandera,Female,6,Three,Physical,Urban,Special
Coast,Mombasa,Male,8,Two,Physical,Urban,Integrated
North Eastern,Bomet,Male,10,Two,Physical,Urban,Regular
Nairobi,Nandi,Female,5,Pre-School,Hearing,Urban,Special
Nairobi,Samburu,Female,10,One,Hearing,Urban,Regular
Central,Turkana,Female,7,Three,Physical,Urban,Integrated
Western,Kirinyaga,Female,6,Two,Hearing,Rural,Regular
Nairobi,Mombasa,Female,7,Two,Visual,Urban,Integrated
Central,Makueni,Male,7,One,Hearing,Urban,Regular
Rift Valley,Baringo,Male,9,Three,Visual,Urban,Regular
Eastern,West Pokot,Female,6,Two,Hearing,Urban,Integrated
Nyanza,Elgeyo Marakwet,Male,7,One,Physical,Urban,Regular
Nyanza,Marsabit,Male,7,Three,Hearing,Urban,Regular
Rift Valley,Mandera,Female,9,Two,Hearing,Rural,Regular
Nyanza,Turkana,Female,6,Three,Visual,Urban,Regular
Nyanza,Kirinyaga,Male,10,One,Hearing,Urban,Regular
Coast,Nyamira,Male,9,Three,Hearing,Urban,Integrated
Coast,Meru,Male,5,Pre-School,Hearing,Rural,Integrated
Nairobi,Tana River,Female,10,One,Visual,Urban,Regular
Eastern,Turkana,Female,6,Three,Visual,Rural,Integrated
Eastern,Embu,Male,5,Pre-School,Visual,Rural,Regular
Eastern,Machakos,Female,9,Two,Visual,Urban,Integrated
Coast,Kiambu,Female,6,Three,Hearing,Urban,Regular
Nyanza,Mandera,Female,5,Pre-School,Visual,Urban,Regular
Nairobi,Kericho,Female,10,Three,Autism,Urban,Regular
Coast,Kericho,Female,7,Two,Physical,Urban,Integrated
Coast,Homa Bay,Female,7,Two,Hearing,Urban,Regular
Central,Nyandarua,Female,5,Pre-School,Hearing,Rural,Integrated
North Eastern,Siaya,Female,6,One,Visual,Rural,Special
Western,Kitui,Male,6,One,Visual,Urban,Regular
Central,Isiolo,Female,6,Two,Hearing,Urban,Regular
Western,Kiambu,Female,6,Two,Physical,Rural,Integrated
Eastern,Kitui,Female,7,One,Visual,Urban,Regular
Coast,Embu,Female,6,Three,Visual,Urban,Integrated
Coast,Uasin Gishu,Male,10,One,Physical,Urban,Regular
Nyanza,Kisumu,Male,9,One,Physical,Urban,Integrated
North Eastern,Meru,Male,6,One,Physical,Urban,Regular
Rift Valley,Siaya,Female,7,Three,Hearing,Urban,Regular
Nairobi,Baringo,Female,10,Three,Visual,Rural,Special
North Eastern,Bungoma,Female,7,Three,Physical,Urban,Regular
Central,Machakos,Female,8,Three,Visual,Urban,Integrated
North Eastern,Busia,Male,7,Two,Visual,Urban,Regular
Nyanza,Wajir,Female,6,Two,Visual,Urban,Special
Rift Valley,Homa Bay,Male,8,Two,Physical,Rural,Special
Nairobi,Busia,Male,9,Three,Visual,Urban,Regular
North Eastern,Nyeri,Male,7,Two,Visual,Urban,Integrated
North Eastern,Siaya,Female,7,Two,Physical,Urban,Special
Rift Valley,Meru,Male,5,Pre-School,Physical,Urban,Regular
Rift Valley,Nyeri,Female,8,Three,Physical,Rural,Regular
Eastern,Nyeri,Male,10,Two,Hearing,Rural,Regular
Nyanza,Wajir,Male,9,One,Physical,Urban,Integrated
Western,Nakuru,Female,10,Three,Physical,Urban,Regular
Eastern,Laikipia,Female,6,One,Hearing,Rural,Integrated
Western,Nandi,Male,9,Two,Physical,Rural,Integrated
Western,Kirinyaga,Female,10,Two,Physical,Urban,Special
Eastern,Siaya,Male,9,Three,Visual,Urban,Integrated
Central,Garissa,Male,10,Three,Hearing,Urban,Regular
Rift Valley,Kitui,Female,10,Three,Hearing,Rural,Integrated
Rift Valley,Nakuru,Female,9,Two,Visual,Urban,Integrated
Central,Garissa,Male,9,Three,Visual,Rural,Regular
Eastern,Makueni,Female,5,Pre-School,Hearing,Urban,Integrated
North Eastern,Kajiado,Male,9,Three,Hearing,Urban,Integrated
Nairobi,Nyandarua,Female,8,One,Physical,Urban,Regular
Eastern,Mandera,Male,10,One,Visual,Urban,Integrated
Western,Migori,Male,7,Three,Physical,Urban,Special
North Eastern,Nandi,Female,9,One,Physical,Urban,Integrated
Central,Narok,Female,5,Pre-School,Physical,Urban,Integrated
Eastern,Kwale,Female,7,Three,Visual,Urban,Integrated
North Eastern,Kajiado,Male,10,Two,Physical,Urban,Regular
Western,Migori,Female,5,Pre-School,Physical,Urban,Special
Nyanza,Baringo,Female,9,Two,Physical,Urban,Regular
Central,Kajiado,Male,5,Pre-School,Visual,Rural,Integrated
Nyanza,Elgeyo Marakwet,Male,9,One,Visual,Urban,Integrated
Western,Homa Bay,Female,7,Two,Physical,Rural,Regular
Nyanza,Vihiga,Male,9,One,Visual,Urban,Integrated
Rift Valley,Tana River,Male,5,Pre-School,Autism,Urban,Integrated
Central,Siaya,Female,8,Three,Autism,Urban,Regular
Nairobi,Kajiado,Male,7,Three,Hearing,Urban,Regular
Eastern,Murang'a,Female,5,Pre-School,Physical,Urban,Regular
Eastern,Bungoma,Female,7,Two,Physical,Urban,Integrated
North Eastern,Garissa,Male,5,Pre-School,Visual,Urban,Regular
North Eastern,Homa Bay,Female,8,One,Autism,Urban,Integrated
North Eastern,Homa Bay,Female,8,One,Hearing,Urban,Special
Coast,Busia,Female,5,Pre-School,Physical,Rural,Integrated
Coast,Elgeyo Marakwet,Female,8,Two,Autism,Urban,Integrated
Western,Murang'a,Female,9,One,Hearing,Urban,Regular
Rift Valley,Nairobi,Male,7,One,Hearing,Urban,Regular
Nyanza,Embu,Female,8,Three,Physical,Rural,Regular
Rift Valley,Kisii,Male,9,Three,Visual,Rural,Integrated
Nyanza,Laikipia,Female,5,Pre-School,Visual,Rural,Integrated
Nairobi,Meru,Female,8,Three,Physical,Urban,Regular
North Eastern,Mandera,Male,5,Pre-School,Physical,Urban,Regular
Rift Valley,Kisumu,Male,8,Two,Physical,Rural,Integrated
Rift Valley,Vihiga,Male,9,One,Physical,Urban,Regular
Nyanza,Tharaka Nithi,Male,7,Two,Visual,Rural,Integrated
Nairobi,Marsabit,Male,7,Three,Visual,Urban,Special
Central,Machakos,Female,9,Two,Visual,Urban,Special
Eastern,Nyamira,Female,10,One,Hearing,Urban,Integrated
Western,Makueni,Female,8,Three,Physical,Rural,Regular
North Eastern,Nyamira,Male,7,Two,Visual,Urban,Regular
Nairobi,Garissa,Male,7,Three,Hearing,Urban,Regular
Nyanza,Nairobi,Female,9,Three,Physical,Rural,Regular
Rift Valley,Garissa,Female,7,One,Hearing,Urban,Integrated
North Eastern,Kajiado,Female,5,Pre-School,Physical,Urban,Integrated
North Eastern,Kisumu,Male,9,Three,Hearing,Urban,Integrated
Western,Meru,Female,6,One,Hearing,Urban,Regular
Rift Valley,Nyandarua,Male,10,Two,Visual,Urban,Integrated
Nairobi,Baringo,Male,10,Two,Physical,Urban,Integrated
Eastern,Uasin Gishu,Female,10,Two,Physical,Urban,Regular
Eastern,Machakos,Male,5,Pre-School,Hearing,Urban,Regular
North Eastern,Kericho,Female,6,Three,Hearing,Urban,Regular
Central,Laikipia,Male,7,Two,Hearing,Urban,Regular
Nyanza,Kericho,Female,5,Pre-School,Physical,Urban,Integrated
Coast,Bomet,Female,7,Two,Visual,Urban,Integrated
North Eastern,Wajir,Male,6,One,Physical,Rural,Special
Eastern,Nyandarua,Male,6,One,Visual,Urban,Regular
Western,Murang'a,Male,10,One,Visual,Urban,Regular
Nyanza,Garissa,Male,10,Three,Physical,Urban,Regular
Nairobi,Murang'a,Male,5,Pre-School,Hearing,Urban,Integrated
Nyanza,Kakamega,Female,5,Pre-School,Visual,Rural,Integrated
Nyanza,Baringo,Male,10,Three,Visual,Urban,Integrated
Rift Valley,Embu,Male,5,Pre-School,Visual,Rural,Integrated
Rift Valley,Meru,Male,9,One,Hearing,Urban,Regular
Coast,Marsabit,Female,6,One,Visual,Urban,Regular
Rift Valley,Lamu,Male,6,One,Hearing,Rural,Regular
North Eastern,Turkana,Female,10,One,Hearing,Rural,Integrated
Western,Machakos,Male,7,One,Visual,Urban,Regular
Western,Trans Nzoia,Female,8,Three,Hearing,Urban,Integrated
North Eastern,Laikipia,Female,5,Pre-School,Visual,Urban,Regular
Eastern,West Pokot,Female,8,One,Hearing,Urban,Integrated
Rift Valley,Bomet,Female,7,One,Visual,Rural,Regular
Nyanza,Kiambu,Male,6,One,Hearing,Urban,Integrated
Eastern,Lamu,Male,10,Three,Hearing,Urban,Regular
Rift Valley,Nakuru,Male,9,One,Physical,Rural,Regular
Coast,Uasin Gishu,Female,7,One,Hearing,Rural,Integrated
Coast,Turkana,Female,6,One,Physical,Urban,Integrated
Central,Meru,Female,7,One,Hearing,Urban,Special
Rift Valley,Wajir,Male,6,One,Hearing,Rural,Integrated
Rift Valley,Machakos,Female,10,One,Hearing,Urban,Integrated
Coast,Uasin Gishu,Female,7,Three,Visual,Urban,Integrated
Nairobi,Garissa,Male,7,Two,Physical,Urban,Regular
Eastern,Kilifi,Female,8,One,Visual,Urban,Regular
Coast,Kitui,Female,6,Two,Physical,Urban,Special
Central,Nairobi,Male,10,One,Physical,Urban,Regular
Rift Valley,West Pokot,Male,10,Two,Physical,Urban,Integrated
Nairobi,Laikipia,Male,6,Three,Hearing,Urban,Integrated
Coast,Lamu,Male,7,One,Hearing,Urban,Integrated
North Eastern,Nyandarua,Female,8,Two,Visual,Rural,Regular
North Eastern,Tharaka Nithi,Male,6,One,Hearing,Urban,Integrated
North Eastern,Nakuru,Male,7,Two,Visual,Rural,Regular
Eastern,Bomet,Female,6,Three,Hearing,Urban,Regular
Western,Garissa,Female,10,Two,Physical,Urban,Integrated
North Eastern,Samburu,Male,7,One,Hearing,Urban,Regular
Western,Narok,Female,10,Three,Physical,Rural,Integrated
Central,Kisumu,Female,7,Three,Hearing,Urban,Regular
Western,Marsabit,Female,5,Pre-School,Autism,Urban,Regular
North Eastern,Bungoma,Female,8,One,Physical,Rural,Integrated
Rift Valley,Garissa,Female,8,One,Hearing,Urban,Special
Central,Kwale,Male,7,Two,Hearing,Rural,Regular
Eastern,Taita Taveta,Female,10,Three,Physical,Urban,Regular
Rift Valley,Turkana,Male,8,Three,Visual,Urban,Special
North Eastern,Migori,Female,10,One,Visual,Rural,Integrated
North Eastern,Kirinyaga,Female,9,Three,Visual,Urban,Special
Eastern,Kajiado,Female,8,Two,Visual,Rural,Regular
Nyanza,Nairobi,Female,6,Three,Hearing,Urban,Regular
Western,Nyeri,Male,6,Three,Physical,Urban,Special
Rift Valley,Isiolo,Male,8,Three,Hearing,Urban,Regular
Central,Siaya,Female,9,One,Visual,Rural,Integrated
Nyanza,Nakuru,Male,7,Three,Physical,Urban,Regular
Coast,Vihiga,Female,9,Three,Visual,Urban,Special
Coast,Nyeri,Female,5,Pre-School,Hearing,Urban,Regular
Coast,Kitui,Female,8,Three,Physical,Rural,Regular
Central,West Pokot,Female,6,One,Physical,Rural,Integrated
Eastern,Isiolo,Male,9,Two,Visual,Urban,Regular
Western,Laikipia,Male,6,One,Visual,Urban,Special
Rift Valley,Nyamira,Female,6,Two,Physical,Urban,Special
Eastern,Siaya,Male,5,Pre-School,Autism,Urban,Regular
Eastern,Mombasa,Male,10,Two,Hearing,Urban,Special
Central,Busia,Male,9,Two,Hearing,Urban,Integrated
North Eastern,Kirinyaga,Female,8,Two,Visual,Rural,Regular
Nairobi,Meru,Female,10,Two,Visual,Urban,Integrated
Eastern,Kisumu,Male,5,Pre-School,Hearing,Urban,Regular
Western,Marsabit,Male,8,Two,Physical,Urban,Integrated
Western,Nyamira,Male,8,Three,Visual,Urban,Integrated
Coast,Kirinyaga,Female,10,One,Visual,Urban,Integrated
North Eastern,Homa Bay,Male,10,One,Visual,Urban,Special
Western,Samburu,Female,6,Two,Physical,Urban,Regular
Nairobi,Taita Taveta,Female,7,Three,Hearing,Urban,Integrated
Eastern,Kisumu,Male,9,Three,Physical,Urban,Regular
Coast,Meru,Male,10,Three,Visual,Urban,Special
North Eastern,Lamu,Male,8,One,Visual,Urban,Integrated
Central,Turkana,Female,7,Two,Hearing,Urban,Integrated
Eastern,Busia,Female,8,Two,Hearing,Urban,Regular
North Eastern,Bomet,Male,5,Pre-School,Visual,Urban,Regular
Nairobi,Nakuru,Male,5,Pre-School,Visual,Urban,Integrated
North Eastern,Nairobi,Female,5,Pre-School,Physical,Urban,Integrated
Coast,Kitui,Female,6,Three,Physical,Urban,Integrated
Nairobi,Turkana,Male,5,Pre-School,Visual,Urban,Regular
Nyanza,Kisumu,Male,8,Three,Visual,Rural,Regular
Eastern,Marsabit,Male,9,Two,Physical,Urban,Regular
Eastern,Uasin Gishu,Female,5,Pre-School,Physical,Urban,Regular
Western,Kisumu,Female,5,Pre-School,Visual,Urban,Integrated
North Eastern,Embu,Male,5,Pre-School,Hearing,Urban,Special
Nairobi,Vihiga,Male,6,Two,Visual,Urban,Special
Nairobi,Kitui,Female,6,Two,Visual,Urban,Integrated
Nairobi,Kisii,Female,10,Two,Hearing,Urban,Integrated
Eastern,Taita Taveta,Male,8,One,Visual,Urban,Integrated
Eastern,Kisii,Male,7,Three,Physical,Rural,Regular
Nairobi,Murang'a,Male,8,Three,Hearing,Urban,Integrated
Central,Busia,Male,9,Three,Autism,Urban,Special
Central,Nandi,Male,9,Two,Physical,Urban,Integrated
Western,Turkana,Male,7,One,Physical,Urban,Integrated
Western,Bungoma,Female,5,Pre-School,Hearing,Rural,Integrated
Coast,Machakos,Male,8,Three,Visual,Urban,Regular
North Eastern,Murang'a,Male,9,Two,Visual,Rural,Integrated
Eastern,Tana River,Male,7,Three,Autism,Urban,Integrated
Eastern,Elgeyo Marakwet,Male,10,One,Visual,Urban,Regular
Central,Homa Bay,Female,7,Two,Hearing,Urban,Integrated
Coast,Nyeri,Female,7,Two,Hearing,Rural,Regular
Rift Valley,Meru,Female,5,Pre-School,Physical,Rural,Integrated
Nairobi,Narok,Male,6,Two,Visual,Urban,Regular
Coast,Marsabit,Female,9,Two,Physical,Urban,Integrated
Central,Tana River,Male,5,Pre-School,Visual,Urban,Special
North Eastern,Kiambu,Female,10,Three,Visual,Urban,Regular
Central,Baringo,Male,9,One,Physical,Rural,Regular
Western,Siaya,Male,9,One,Autism,Urban,Regular
Nairobi,Wajir,Male,8,One,Physical,Rural,Integrated
Nairobi,Kisii,Male,10,Two,Hearing,Urban,Special
Western,Kwale,Male,7,One,Hearing,Urban,Integrated
Central,Wajir,Male,7,Three,Autism,Urban,Integrated
Western,Kiambu,Female,6,Two,Physical,Urban,Regular
North Eastern,Bungoma,Female,8,One,Autism,Urban,Integrated
Rift Valley,Isiolo,Male,10,Two,Hearing,Rural,Regular
Western,Mandera,Female,9,Three,Physical,Urban,Integrated
Nairobi,Trans Nzoia,Female,7,Two,Hearing,Urban,Integrated
North Eastern,Laikipia,Male,7,Three,Physical,Urban,Regular
Eastern,Kirinyaga,Male,6,One,Visual,Urban,Integrated
Rift Valley,Homa Bay,Male,5,Pre-School,Physical,Urban,Regular
Rift Valley,Kisii,Male,6,Two,Hearing,Urban,Special
Eastern,Kakamega,Female,8,Three,Physical,Urban,Integrated
Nyanza,Kakamega,Male,6,Three,Hearing,Rural,Integrated
Coast,Lamu,Female,8,Two,Autism,Rural,Regular
Western,Kisumu,Male,6,Three,Physical,Urban,Integrated
Coast,Uasin Gishu,Male,5,Pre-School,Visual,Urban,Regular
Nyanza,Nyamira,Male,9,Three,Autism,Urban,Integrated
Central,Turkana,Female,9,Two,Visual,Urban,Integrated
Central,Migori,Female,7,Two,Physical,Urban,Regular
Coast,Elgeyo Marakwet,Male,9,Three,Physical,Urban,Integrated
Nyanza,Kakamega,Male,5,Pre-School,Physical,Urban,Regular
Rift Valley,Kiambu,Female,8,Two,Visual,Urban,Integrated
Western,Bomet,Female,8,One,Hearing,Urban,Regular
North Eastern,Embu,Male,5,Pre-School,Physical,Urban,Regular
North Eastern,Marsabit,Female,9,One,Visual,Urban,Regular
Western,Murang'a,Female,7,One,Visual,Urban,Regular
Eastern,Nyeri,Female,5,Pre-School,Physical,Urban,Integrated
Nairobi,Baringo,Female,8,Two,Visual,Urban,Regular
North Eastern,Kitui,Male,8,Two,Hearing,Urban,Regular
Nyanza,Meru,Female,9,One,Autism,Rural,Integrated
Rift Valley,Laikipia,Female,7,One,Hearing,Urban,Integrated
Nyanza,Migori,Female,8,Two,Hearing,Urban,Regular
